,c1,c2,c3,c4,c5,acct_age,build_count_mod,josm_edits,road_km_mod,validations_age,user_name,validations,validations_age,kmeansClassc1c2,kmeansClassc1c3,kmeansClassc1c4,kmeansClassc2c3,kmeansClassc2c4,kmeansClassc3c4
18,4.328990634,2.951883322,11.39681931,-4.552117464,0.542747877,1009,28929,2974,9.960796168,0.755203171,Raph Reyes,762,0.755203171,2,2,0,1,1,1
78,10.74411622,9.029445735,27.39372943,-10.01241455,1.283825733,3061,69599,7059,122.3694409,0.280300555,schadow1,858,0.280300555,1,2,1,2,0,1
96,7.059239275,-5.603837845,4.047956308,5.797042631,0.058289166,212,4624,5448,8140.260577,26.07075472,DaryR,5527,26.07075472,1,2,2,0,2,2
197,6.736210227,1.183945475,2.601051428,-2.448292149,-3.553954239,585,9887,10543,4085.145328,0.213675214,mmahmud,125,0.213675214,1,2,1,1,1,0
44,5.234436323,-6.730869264,4.142991785,7.880849501,0.163570942,645,1809,3212,4608.99884,30.38449612,amour_nyl,19598,30.38449612,0,2,2,0,2,2
88,4.172931176,-5.700226814,2.728502198,5.722713756,-0.044081602,93,604,2939,3944.454696,23.27956989,MutyAfadila,2165,23.27956989,0,2,2,0,2,2
89,4.438691083,-8.303778811,4.937224505,9.966392069,-0.19062271,751,480,2308,1327.626408,36.47270306,Nuru Kalulunga,27391,36.47270306,0,2,2,0,2,2
91,5.80950552,-8.717783746,5.206837443,10.30600969,-1.02939227,645,980,4395,1857.360143,38.57829457,Hawa Adinani,24883,38.57829457,0,2,2,0,2,2
94,5.255496492,-8.802453373,4.971791105,9.561548555,-0.346538807,92,975,3269,2376.621391,36.93478261,Adriansyah,3398,36.93478261,0,2,2,0,2,2
98,5.370100063,-1.420384162,2.451714674,1.160832005,-0.166736531,644,6091,5139,7334.898141,9.663043478,kombe1207,6223,9.663043478,0,2,0,0,1,0
494,2.883380025,-8.338446765,4.9354203,9.831678698,0.589018506,645,0,0,0,35.48062016,saguda,22885,35.48062016,0,2,2,0,2,2
19,6.125014259,0.458454398,-2.249094592,-0.332001473,2.781067392,871,608,3919,18980.58016,1.01836969,sophs74,887,1.01836969,1,1,1,1,1,0
38,6.904588883,-0.761323648,-0.555638189,0.975378581,1.759550973,809,2319,5215,16582.83527,6.849196539,armasari,5541,6.849196539,1,1,1,0,1,0
42,10.5923944,0.180101974,-3.50035957,-0.205742821,6.762675732,426,1665,4370,35526.65742,3.46713615,tonybendell,1477,3.46713615,1,1,1,0,1,0
65,13.88445426,1.35479594,-4.333345596,-1.133594876,-1.809681647,990,263,16710,26426.10582,0.458585859,RichRico,454,0.458585859,1,1,1,1,0,0
95,9.082556723,1.971478807,-2.740355625,1.099526057,6.633588778,2737,2180,2895,32229.55771,3.052977713,Johnwhelan,8356,3.052977713,1,1,1,1,0,0
171,11.39085508,1.439581494,-2.046252558,-1.514275404,-1.899278589,987,3555,14050,19754.25146,0.245187437,dannykath,242,0.245187437,1,1,1,1,1,0
177,13.86085613,1.728997842,-4.31602056,-1.123876647,0.101494831,1226,1084,14753,30038.23816,0.145187602,Luis36995,178,0.145187602,1,1,1,1,0,0
178,7.192891822,0.643256579,-2.447191587,-0.716619755,-0.191144267,856,192,8101,15563.51942,0.213785047,samely,183,0.213785047,1,1,1,1,1,0
186,9.11187814,1.421627924,-3.203180165,-0.469634569,1.056366873,1507,379,8852,22196.17967,0.109489051,ediyes,165,0.109489051,1,1,1,1,0,0
198,14.00454124,1.326293405,-4.310045507,-1.319482057,-1.958996643,856,443,16996,26343.71463,0.244158879,calfarome,209,0.244158879,1,1,1,1,1,0
202,13.85871794,1.254369455,-4.369146846,-1.328893667,-1.187309746,765,480,16067,27567.00904,0.271895425,karitotp,208,0.271895425,1,1,1,1,1,0
1391,-0.08463509,-0.157271863,-0.156461951,-0.264155788,0.08085844,17,57,0,19.44910392,8.705882353,officecoffeesucks,148,8.705882353,1,1,1,1,1,0
1396,-0.338686745,1.290061562,-0.014361433,0.88383541,-0.055319973,1383,191,813,2757.861614,0.026753435,poornibadrinath,37,0.026753435,1,1,1,1,1,0
1402,0.238324128,-0.589293119,-0.174421734,-0.634983299,-0.555501898,461,97,0,57.40095047,0.010845987,Cathy N,5,0.010845987,1,1,1,1,1,0
3,-0.211308791,1.802187649,0.196366931,1.574617572,-0.061174527,3481,225,132,274.7235331,0.758977305,Polyglot,2642,0.758977305,2,0,0,1,0,0
